Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,2,1,28.0,0,0,13.0,63,2
0,3,1,25.0,0,0,7.65,140,2
0,3,1,20.0,0,0,7.8542,47,2
0,3,0,29.0,0,4,21.075,47,2
0,1,1,31.0,1,0,52.0,38,2
0,3,1,37.0,2,0,7.925,145,2
0,3,1,19.0,0,0,14.5,145,2
1,3,0,1.0,0,2,15.7417,63,0
0,3,1,20.5,0,0,7.25,145,2
1,2,0,42.0,1,0,26.0,47,2
0,2,1,25.0,0,0,13.0,145,2
0,3,0,24.0,0,0,8.85,145,2
1,2,0,48.0,1,2,65.0,47,2
0,2,1,37.0,1,0,26.0,47,2
0,3,1,28.0,0,0,7.75,145,1
0,3,1,17.0,0,0,7.125,145,2
0,1,1,27.0,0,2,211.5,79,0
0,3,1,17.0,1,1,7.2292,145,0
0,2,1,32.0,2,0,73.5,63,2
1,1,1,38.0,1,0,90.0,87,2
1,3,0,28.0,0,0,7.7875,47,1
0,3,1,45.0,0,0,6.975,145,2
1,2,1,32.0,1,0,26.0,47,2
0,3,1,30.5,0,0,8.05,63,2
1,2,0,41.0,0,1,19.5,145,2
0,2,1,48.0,0,0,13.0,47,2
1,1,1,60.0,1,1,79.2,29,0
1,1,1,50.0,2,0,133.65,63,2
0,3,1,24.0,0,0,8.05,47,2
0,3,0,17.0,0,0,14.4583,63,0
0,3,1,19.0,0,0,8.05,47,2
0,2,1,25.0,1,0,26.0,145,2
0,1,1,28.0,0,0,221.7792,88,2
0,1,1,45.0,0,0,26.55,26,2
1,2,0,30.0,3,0,21.0,145,2
0,1,1,40.0,0,0,27.7208,145,0
0,2,1,34.0,1,0,21.0,63,2
1,1,1,28.0,0,0,26.55,71,2
0,3,1,36.0,0,0,7.4958,47,2
1,2,0,3.0,1,2,41.5792,63,0
1,2,0,40.0,0,0,13.0,145,2
0,3,1,32.0,0,0,7.75,145,1
0,2,1,34.0,1,0,26.0,47,2
0,3,0,16.0,5,2,46.9,63,2
0,3,1,42.0,0,1,8.4042,47,2
1,1,0,28.0,0,0,110.8833,145,0
0,3,1,25.0,0,0,7.7417,63,1
0,3,1,7.0,4,1,39.6875,47,2
0,2,1,23.0,0,0,10.5,47,2
0,2,1,28.0,0,0,13.5,47,2
0,1,1,28.0,0,0,50.0,9,2
0,3,1,50.0,0,0,8.05,47,2
1,3,1,28.0,0,0,8.1125,47,2
1,3,1,32.0,0,0,56.4958,63,2
1,3,1,32.0,0,0,56.4958,145,2
0,3,1,44.0,0,0,8.05,145,2
0,1,1,28.0,0,0,30.6958,63,0
0,3,1,70.5,0,0,7.75,47,1
0,2,1,25.0,1,2,41.5792,145,0
0,1,1,30.0,0,0,27.75,53,0
1,1,0,22.0,1,0,66.6,61,2
0,3,0,41.0,0,5,39.6875,47,2
1,1,0,30.0,0,0,106.425,145,0
1,2,0,27.0,0,0,10.5,116,2
0,3,1,7.0,4,1,29.125,63,1
0,3,0,31.0,0,0,7.8542,63,2
0,3,1,20.0,0,0,9.8458,145,2
0,2,1,27.0,0,0,13.0,63,2
0,2,1,30.0,0,0,10.5,63,2
1,1,0,48.0,0,0,25.9292,94,2
0,3,0,26.0,1,0,16.1,47,2
1,3,0,19.0,0,0,7.8792,145,1
1,1,1,27.0,0,0,30.5,47,2
1,2,0,28.0,0,0,12.65,145,2
0,3,1,19.0,0,0,7.8958,145,2
0,3,1,40.0,0,0,7.225,63,0
1,2,0,35.0,0,0,21.0,47,2
0,1,1,28.0,0,0,27.7208,63,0
1,3,0,28.0,0,0,7.8792,47,1
1,3,0,26.0,0,0,7.8542,47,2
0,3,0,28.0,0,0,8.05,145,2
0,3,0,28.0,0,0,8.05,47,2
1,2,1,0.67,1,1,14.5,145,2
0,3,1,24.0,1,0,16.1,63,2
0,3,1,28.0,0,0,6.95,47,1
0,3,1,20.0,0,0,9.5,63,2
0,3,1,26.0,0,0,7.8875,47,2
1,1,0,36.0,0,2,71.0,20,2
0,1,1,62.0,0,0,26.55,47,2
0,3,1,28.0,0,0,7.05,145,2
1,3,0,31.0,1,1,20.525,47,2
1,1,0,43.0,0,1,211.3375,22,2
1,1,0,38.0,0,0,227.525,66,0
0,3,0,18.0,1,0,17.8,63,2
0,3,1,28.0,0,0,8.05,63,2
0,3,1,28.0,0,0,7.2292,63,0
0,3,1,33.0,0,0,7.8958,47,0
0,3,0,28.0,1,2,23.45,63,2
1,1,0,28.0,1,0,146.5208,41,0
0,3,1,28.0,0,0,8.05,63,2
0,3,1,28.0,0,0,7.75,145,1
0,3,1,28.0,0,0,6.8583,145,1
0,3,1,2.0,4,1,39.6875,145,2
1,3,1,27.0,0,0,6.975,47,2
0,3,1,30.0,0,0,7.225,63,0
0,3,1,38.0,0,0,7.05,145,2
0,3,1,28.0,0,0,7.8292,145,1
0,3,0,28.0,0,2,15.2458,63,0
0,3,0,28.0,8,2,69.55,63,2
0,3,1,24.0,2,0,24.15,63,2
1,1,1,40.0,0,0,31.0,8,0
1,3,1,3.0,1,1,15.9,47,2
0,2,1,39.0,0,0,26.0,145,2
0,3,1,25.0,0,0,7.8958,47,2
1,3,1,29.0,0,0,9.5,47,2
0,1,1,28.0,0,0,35.0,59,2
0,3,1,17.0,0,0,8.6625,145,2
1,3,1,20.0,0,0,7.2292,47,0
0,3,1,34.0,1,1,14.4,145,2
0,3,1,22.0,0,0,7.5208,145,2
0,3,0,22.0,0,0,10.5167,63,2
0,3,1,19.0,0,0,10.1708,145,2
0,1,1,55.0,0,0,30.5,64,2
1,1,1,56.0,0,0,35.5,7,0
1,3,1,45.0,0,0,8.05,63,2
0,3,1,28.0,0,0,7.8958,47,2
1,3,1,32.0,0,0,7.925,145,2
0,3,1,20.0,0,0,9.225,47,2
1,1,1,28.0,0,0,35.5,71,2
0,2,1,24.0,0,0,10.5,145,2
0,3,1,26.0,0,0,8.05,145,2
1,3,0,22.0,0,0,7.75,145,1
0,3,1,59.0,0,0,7.25,47,2
0,3,1,28.0,0,0,7.25,63,2
1,2,0,28.0,0,0,33.0,47,2
0,3,1,18.0,0,0,8.3,63,2
0,1,0,25.0,1,2,151.55,62,2
1,1,0,32.0,0,0,76.2917,93,0
0,1,1,45.0,0,0,35.5,146,2
1,1,0,24.0,0,0,83.1583,72,0
1,2,0,45.0,1,1,26.25,145,2
1,3,0,27.0,0,0,7.925,47,2
0,3,1,38.0,0,0,8.6625,145,2
1,3,1,22.0,0,0,7.225,63,0
1,2,1,62.0,0,0,10.5,145,2
1,3,0,33.0,3,0,15.85,145,2
1,3,1,28.0,2,0,23.25,145,1
1,1,0,58.0,0,0,26.55,49,2
0,2,0,26.0,1,1,26.0,145,2
0,3,1,28.0,0,0,8.05,145,2
0,3,0,22.0,0,0,9.8375,47,2
0,3,1,28.0,0,0,8.05,145,2
0,3,0,43.0,1,6,46.9,145,2
0,3,0,2.0,3,2,27.9,145,2
0,3,1,65.0,0,0,7.75,47,1
0,3,1,31.0,0,0,7.75,47,1
0,3,1,28.0,0,0,7.75,145,1
0,3,0,20.0,0,0,8.6625,145,2
0,3,1,2.0,4,1,29.125,63,1
0,3,1,28.0,0,0,7.8958,47,2
0,3,1,43.0,0,0,6.45,47,2
0,2,1,42.0,1,0,27.0,63,2
1,2,0,28.0,1,0,24.0,145,0
1,3,0,24.0,0,3,19.2583,145,0
1,1,0,40.0,0,0,153.4625,57,2
0,3,1,9.0,4,2,31.3875,63,2
1,3,0,1.0,1,1,11.1333,63,2
0,3,1,51.0,0,0,8.05,63,2
1,1,0,54.0,1,0,78.2667,96,0
1,3,0,28.0,0,0,7.2292,145,0
0,2,1,29.0,0,0,10.5,63,2
0,3,1,28.0,0,0,7.55,47,2
0,1,1,44.0,2,0,90.0,78,1
0,3,1,28.5,0,0,16.1,47,2
1,2,0,17.0,0,0,12.0,63,0
0,3,1,14.0,4,1,39.6875,145,2
0,3,1,29.0,0,0,8.05,145,2
1,1,1,42.0,0,0,26.2875,120,2
0,2,1,34.0,0,0,13.0,47,2
0,2,1,18.0,0,0,11.5,145,2
0,3,0,45.0,1,4,27.9,63,2
0,2,1,30.0,1,0,24.0,145,0
0,2,1,16.0,0,0,10.5,145,2
1,1,1,45.0,0,0,26.55,63,2
1,2,0,13.0,0,1,19.5,145,2
0,3,1,33.0,1,1,20.525,145,2
0,3,1,21.0,0,0,8.05,63,2
0,1,1,46.0,0,0,79.2,44,0
1,2,1,3.0,1,1,18.75,145,2
1,1,1,48.0,0,0,26.55,117,2
1,2,0,33.0,1,2,27.75,145,2
1,2,0,28.0,0,0,13.0,63,2
1,2,0,28.0,1,0,26.0,145,2
1,2,0,4.0,1,1,23.0,63,2
1,2,0,2.0,1,1,26.0,47,2
0,3,1,32.0,1,0,15.85,145,2
0,3,0,9.0,3,2,27.9,63,2
0,3,1,39.0,1,5,31.275,145,2
0,3,1,28.0,0,0,7.8542,63,2
0,3,0,30.0,1,1,24.15,63,2
0,2,1,28.0,0,0,0.0,145,2
1,1,0,21.0,0,0,77.9583,114,2
0,3,1,28.0,0,0,7.8958,47,2
0,3,1,28.0,8,2,69.55,145,2
0,3,1,49.0,0,0,0.0,63,2
0,3,1,18.0,0,0,7.75,145,2
0,2,0,24.0,0,0,13.0,63,2
1,3,0,28.0,0,0,7.8292,47,1
0,3,1,44.0,0,0,8.05,145,2
0,3,0,47.0,1,0,14.5,145,2
0,3,0,28.0,0,0,8.1375,63,1
1,3,1,25.0,1,0,7.775,47,2
0,3,1,20.0,0,0,7.925,145,2
0,3,1,42.0,0,0,8.6625,47,2
0,2,1,23.0,0,0,15.0458,47,0
1,3,1,9.0,1,1,15.9,145,2
0,3,1,16.0,1,3,34.375,145,2
0,3,1,18.0,0,0,7.775,47,2
1,2,1,19.0,0,0,10.5,145,2
0,2,0,44.0,1,0,26.0,47,2
1,2,0,19.0,1,0,26.0,63,2
1,1,0,16.0,0,1,39.4,99,2
0,3,1,28.0,0,0,15.5,47,1
1,2,0,22.0,1,2,41.5792,145,0
1,1,1,42.0,1,0,52.5542,95,2
0,2,1,54.0,0,0,26.0,63,2
1,2,0,7.0,0,2,26.25,145,2
0,2,1,19.0,0,0,10.5,47,2
1,3,0,4.0,1,1,16.7,145,2
0,3,0,45.0,0,0,7.75,145,2
0,3,0,28.0,1,0,14.4583,47,0
0,1,1,58.0,0,2,113.275,108,0
0,3,1,2.0,3,1,21.075,145,2
1,1,0,24.0,0,0,49.5042,84,0
0,3,1,74.0,0,0,7.775,145,2
1,2,1,34.0,0,0,13.0,111,2
0,2,1,44.0,1,0,26.0,145,2
0,3,1,21.0,0,0,7.925,145,2
1,2,0,24.0,2,1,27.0,63,2
1,3,0,28.0,0,0,7.225,145,0
0,3,1,29.0,0,0,7.875,63,2
0,1,1,56.0,0,0,26.55,63,2
0,3,1,29.0,0,0,9.4833,145,2
1,3,0,28.0,0,0,7.7375,47,1
1,1,0,22.0,0,1,55.0,123,2
1,3,1,39.0,0,0,7.925,47,2
0,3,1,28.0,2,0,7.925,63,2
0,3,1,14.0,5,2,46.9,63,2
1,3,1,31.0,0,0,7.925,145,2
0,3,1,19.0,0,0,7.65,140,2
0,3,1,23.0,0,0,9.225,63,2
0,2,1,31.0,1,1,37.0042,145,0
0,3,1,41.0,2,0,14.1083,47,2
1,2,0,30.0,0,0,13.0,47,2
0,3,0,11.0,4,2,31.275,63,2
1,1,0,28.0,1,0,82.1708,63,0
0,3,1,28.0,1,0,19.9667,63,2
1,3,1,4.0,1,1,11.1333,145,2
1,3,0,28.0,0,0,7.75,63,1
0,3,1,40.0,1,4,27.9,47,2
1,1,1,35.0,0,0,26.55,145,0
0,3,1,19.0,0,0,8.1583,47,2
0,3,1,51.0,0,0,7.0542,145,2
0,1,1,24.0,0,0,79.2,45,0
0,3,1,21.0,0,0,8.4333,145,2
1,1,0,49.0,0,0,25.9292,94,2
0,2,1,36.5,0,2,26.0,141,2
1,3,0,38.0,1,5,31.3875,145,2
1,2,0,6.0,0,1,33.0,47,2
0,3,1,28.0,0,0,7.2292,63,0
0,2,1,21.0,0,0,73.5,145,2
1,2,0,34.0,0,1,23.0,47,2
1,1,0,30.0,0,0,86.5,40,2
1,2,0,36.0,1,0,26.0,63,2
0,3,1,28.0,0,0,7.2292,63,0
1,3,0,23.0,0,0,7.55,63,2
0,2,1,19.0,1,1,36.75,145,2
1,3,0,28.0,0,0,7.8792,47,1
1,1,0,22.0,0,2,49.5,27,0
1,2,0,29.0,0,0,10.5,142,2
1,2,0,40.0,1,1,39.0,63,2
1,2,0,45.0,0,0,13.5,47,2
0,3,1,21.0,0,0,8.05,47,2
0,2,1,36.0,0,0,10.5,47,2
1,1,0,33.0,1,0,90.0,78,1
0,3,1,16.0,1,1,20.25,63,2
1,3,1,29.0,0,0,7.75,47,1
0,2,1,35.0,0,0,26.0,47,2
0,3,1,19.0,0,0,0.0,47,2
1,3,0,22.0,0,0,7.775,145,2
0,3,1,26.0,2,0,8.6625,145,2
0,3,1,22.0,0,0,7.25,63,2
0,3,1,28.0,0,0,7.25,47,2
0,1,1,21.0,0,1,77.2875,98,2
0,3,1,22.0,0,0,9.35,47,2
1,3,0,28.0,1,0,15.5,47,1
1,3,0,22.0,0,0,7.25,47,2
1,2,0,25.0,0,1,26.0,47,2
1,1,0,38.0,1,0,71.2833,81,0
1,1,1,4.0,0,2,81.8583,10,2
0,3,1,28.0,0,0,8.05,145,2
0,3,1,39.0,0,0,7.925,145,2
0,3,1,16.0,2,0,18.0,47,2
0,3,1,27.0,0,0,7.8958,145,2
1,2,0,34.0,0,0,10.5,142,2
0,2,1,39.0,0,0,13.0,145,2
0,3,1,28.0,0,0,7.75,47,1
0,3,1,31.0,0,0,7.775,145,2
1,3,1,29.0,0,0,7.8958,63,0
0,3,1,28.0,0,0,7.2292,47,0
0,1,1,28.0,0,0,27.7208,145,0
1,3,0,28.0,0,0,7.75,63,1
0,3,1,44.0,0,1,16.1,47,2
0,3,0,14.0,0,0,7.8542,145,2
0,3,1,16.0,0,0,8.05,145,2
0,3,1,30.0,0,0,7.8958,145,2
0,3,1,24.0,0,0,7.4958,63,2
0,2,1,18.0,0,0,11.5,47,2
0,3,1,26.0,0,0,7.8958,145,2
1,2,0,21.0,0,0,10.5,145,2
1,3,0,24.0,0,2,16.7,145,2
0,3,1,55.5,0,0,8.05,47,2
0,3,1,21.0,0,0,7.775,47,2
1,3,0,26.0,0,0,7.925,63,2
1,3,1,44.0,0,0,7.925,47,2
1,2,0,24.0,2,3,18.75,145,2
1,1,0,28.0,1,0,89.1042,86,0
0,3,1,33.0,0,0,7.8958,47,2
0,2,1,28.0,0,0,10.5,63,2
0,2,1,16.0,0,0,26.0,63,2
1,3,1,30.0,0,0,9.5,47,2
0,2,1,32.0,0,0,10.5,63,2
0,3,0,21.0,2,2,34.375,145,2
0,3,1,28.0,8,2,69.55,47,2
0,3,1,41.0,0,0,7.125,63,2
0,3,1,22.0,0,0,7.25,145,2
1,1,0,35.0,1,0,90.0,87,2
0,3,1,42.0,0,0,7.65,139,2
0,3,1,28.0,0,0,9.5,47,2
0,3,0,20.0,1,0,9.825,47,2
0,3,0,2.0,4,2,31.275,145,2
0,3,1,36.0,1,1,24.15,63,2
0,3,0,39.0,0,5,29.125,47,1
0,3,1,28.0,0,0,7.225,145,0
0,3,1,42.0,0,0,7.55,145,2
0,3,0,21.0,1,0,9.825,145,2
1,1,1,28.0,0,0,30.0,105,2
0,2,1,18.0,0,0,73.5,47,2
0,2,1,36.0,0,0,12.875,90,0
0,1,1,38.0,0,1,153.4625,85,2
0,3,0,14.5,1,0,14.4542,145,0
0,3,1,25.0,0,0,7.05,63,2
1,3,0,14.0,1,0,11.2417,47,0
1,1,0,16.0,0,0,86.5,42,2
0,3,1,35.0,0,0,7.8958,63,0
0,2,0,27.0,1,0,21.0,145,2
0,3,1,28.0,1,0,15.5,63,1
0,3,1,28.0,0,0,8.05,47,2
1,2,0,24.0,1,2,65.0,63,2
0,3,1,18.0,0,0,7.7958,63,2
1,2,1,2.0,1,1,26.0,141,2
1,1,0,28.0,1,0,51.8625,97,2
0,3,1,33.0,0,0,8.6625,63,0
1,1,0,36.0,0,0,135.6333,65,0
0,3,1,28.0,0,0,7.7333,63,1
0,3,1,28.0,0,0,7.8958,63,2
0,3,0,28.0,1,0,14.4542,47,0
1,1,0,35.0,1,0,83.475,80,2
1,2,0,25.0,1,1,30.0,63,2
0,3,1,21.0,0,0,7.8,145,2
0,1,0,2.0,1,2,151.55,62,2
0,3,0,28.0,3,1,25.4667,47,2
1,1,1,28.0,0,0,29.7,68,0
1,2,0,17.0,0,0,10.5,63,2
0,3,0,18.0,2,0,18.0,63,2
0,3,1,22.0,0,0,7.8958,145,2
1,2,0,5.0,1,2,27.75,145,2
0,1,1,24.0,0,1,247.5208,36,0
1,3,0,28.0,1,0,15.5,63,1
1,3,1,20.0,1,1,15.7417,145,0
0,3,1,28.0,0,0,14.5,47,2
0,3,1,28.0,8,2,69.55,47,2
0,3,0,30.5,0,0,7.75,47,1
0,1,1,65.0,0,0,26.55,126,2
1,3,1,1.0,1,2,20.575,63,2
0,1,1,51.0,0,1,61.3792,47,0
1,2,0,32.5,0,0,13.0,116,2
1,3,0,15.0,0,0,7.225,47,0
0,2,1,28.0,0,0,0.0,47,2
0,2,1,23.0,0,0,13.0,47,2
0,3,1,47.0,0,0,9.0,145,2
0,3,1,28.0,0,0,7.7292,47,1
0,2,1,21.0,1,0,11.5,63,2
1,2,0,22.0,1,1,29.0,145,2
0,3,1,28.0,0,0,15.1,63,2
1,3,1,28.0,0,0,7.775,145,2
1,1,0,62.0,0,0,80.0,21,2
0,1,1,47.0,0,0,25.5875,132,2
1,1,0,48.0,1,0,39.6,2,0
1,1,0,38.0,0,0,80.0,21,2
1,1,0,17.0,1,0,57.0,19,2
0,3,1,35.0,0,0,8.05,145,2
0,2,1,19.0,0,0,13.0,145,2
0,1,1,22.0,0,0,135.6333,145,0
0,2,1,24.0,2,0,73.5,47,2
0,3,1,28.0,0,0,7.8958,47,2
0,3,1,28.0,0,0,24.15,47,1
0,3,1,35.0,0,0,7.125,145,2
1,1,1,48.0,1,0,52.0,58,2
0,3,0,9.0,1,1,15.2458,47,0
0,3,1,4.0,3,2,27.9,145,2
1,2,0,50.0,0,1,26.0,145,2
1,1,0,45.0,1,1,164.8667,47,2
1,2,1,8.0,1,1,36.75,145,2
1,2,0,29.0,1,0,26.0,63,2
1,1,0,26.0,0,0,78.85,47,2
0,2,0,57.0,0,0,10.5,136,2
1,1,1,36.0,1,2,120.0,47,2
0,3,1,32.0,0,0,7.925,63,2
0,2,1,23.0,0,0,13.0,47,2
0,1,1,18.0,1,0,108.9,74,0
1,2,0,42.0,0,0,13.0,63,2
0,2,1,54.0,0,0,14.0,63,2
0,1,1,28.0,0,0,39.6,145,0
1,2,0,31.0,1,1,26.25,63,2
0,3,1,28.0,1,0,16.1,63,2
1,2,1,3.0,1,1,26.0,141,2
0,3,1,28.0,1,0,7.75,63,1
1,2,0,30.0,0,0,12.35,47,1
0,3,1,28.0,0,0,7.225,47,0
0,3,1,10.0,3,2,27.9,47,2
1,1,0,35.0,1,0,53.1,55,2
1,3,1,32.0,0,0,7.8542,145,2
0,3,1,19.0,0,0,7.8958,145,2
0,2,1,31.0,0,0,10.5,145,2
0,3,1,28.0,0,0,8.05,47,2
0,3,1,16.0,4,1,39.6875,63,2
0,3,0,39.0,1,5,31.275,145,2
0,2,1,25.0,0,0,13.0,145,2
1,3,0,28.0,0,0,7.75,47,1
0,1,1,54.0,0,1,77.2875,98,2
1,1,0,39.0,1,1,110.8833,75,0
0,3,1,24.0,0,0,7.05,63,2
1,2,1,31.0,0,0,13.0,145,2
0,3,1,28.0,0,0,56.4958,145,2
1,1,0,24.0,0,0,69.3,24,0
1,1,0,29.0,0,0,211.3375,32,2
